0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:36:45 +0800] "GET /crowdfunding-admin-webui/corowd/menu-page.js HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:36:45 +0800] "GET /crowdfunding-admin-webui/layer/theme/default/layer.css?v=3.1.1 HTTP/1.1" 200 14367
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:36:45 +0800] "GET /crowdfunding-admin-webui/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:36:46 +0800] "GET /crowdfunding-admin-webui/corowd/menu-page.js HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:36:46 +0800] "GET /crowdfunding-admin-webui/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:36:46 +0800] "GET /favicon.ico HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:36:46 +0800] "POST /crowdfunding-admin-webui/menu/get/menu/tree.json HTTP/1.1" 200 2500
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:21 +0800] "GET /crowdfunding-admin-webui/menu/to/page.html HTTP/1.1" 200 7342
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:21 +0800] "GET /crowdfunding-admin-webui/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:21 +0800] "GET /crowdfunding-admin-webui/css/font-awesome.min.css HTTP/1.1" 200 21966
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:21 +0800] "GET /crowdfunding-admin-webui/css/main.css HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:21 +0800] "GET /crowdfunding-admin-webui/jquery/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:21 +0800] "GET /crowdfunding-admin-webui/ztree/zTreeStyle.css HTTP/1.1" 200 6388
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:21 +0800] "GET /crowdfunding-admin-webui/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:21 +0800] "GET /crowdfunding-admin-webui/layer/layer.js HTTP/1.1" 200 22117
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:21 +0800] "GET /crowdfunding-admin-webui/script/docs.min.js HTTP/1.1" 200 43132
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:21 +0800] "GET /crowdfunding-admin-webui/ztree/jquery.ztree.all-3.5.min.js HTTP/1.1" 200 61421
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:21 +0800] "GET /crowdfunding-admin-webui/crowd/menu-page.js HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:21 +0800] "GET /crowdfunding-admin-webui/layer/theme/default/layer.css?v=3.1.1 HTTP/1.1" 200 14367
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:21 +0800] "GET /crowdfunding-admin-webui/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:21 +0800] "GET /crowdfunding-admin-webui/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:21 +0800] "POST /crowdfunding-admin-webui/menu/get/menu/tree.json HTTP/1.1" 200 2500
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:21 +0800] "GET /favicon.ico HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:40 +0800] "GET /crowdfunding-admin-webui/menu/to/page.html HTTP/1.1" 200 7342
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:40 +0800] "GET /crowdfunding-admin-webui/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:40 +0800] "GET /crowdfunding-admin-webui/css/main.css HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:40 +0800] "GET /crowdfunding-admin-webui/css/font-awesome.min.css HTTP/1.1" 200 21966
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:40 +0800] "GET /crowdfunding-admin-webui/jquery/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:40 +0800] "GET /crowdfunding-admin-webui/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:40 +0800] "GET /crowdfunding-admin-webui/layer/layer.js HTTP/1.1" 200 22117
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:40 +0800] "GET /crowdfunding-admin-webui/ztree/zTreeStyle.css HTTP/1.1" 200 6388
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:40 +0800] "GET /crowdfunding-admin-webui/script/docs.min.js HTTP/1.1" 200 43132
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:40 +0800] "GET /crowdfunding-admin-webui/ztree/jquery.ztree.all-3.5.min.js HTTP/1.1" 200 61421
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:40 +0800] "GET /crowdfunding-admin-webui/crowd/menu-page.js HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:40 +0800] "GET /crowdfunding-admin-webui/layer/theme/default/layer.css?v=3.1.1 HTTP/1.1" 200 14367
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:40 +0800] "GET /crowdfunding-admin-webui/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:41 +0800] "GET /favicon.ico HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:41 +0800] "POST /crowdfunding-admin-webui/menu/get/menu/tree.json HTTP/1.1" 200 2500
0:0:0:0:0:0:0:1 - - [01/Feb/2021:21:38:41 +0800] "GET /crowdfunding-admin-webui/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 542194
